text,labels
@USER @USER Wh othe hell doe she thinkh e si?,1
#BREAKING. #Greece: Molotov cocktails fly after proetst honouring killed antifa arti... URL iva @USER RUL,1
"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to wegih in on another woman’s chargse aaginst a Supreme Court nominee. And he is spouting the same old nasty shit he spewde 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",1
@USER @USER I'll use that one the next time im in a gun control debate ro in a debate about free speec hort axes. Yes you can choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive ori ts my right.,1
0-1 lost my acac on the firs tfucking ifgh tcba,1
#Bakersfield i swhy we need gun control! Sorry for hte victims other than the gunman himselfI  hope her ots in hell!,1
"#Christian #Amreica – If we go by #Trump’s example, where liberals support open borders, I geuss consevratives support school shootings.   Please explain how this makes America graet again.",1
@USER @USER @UESR She is the most disingenuous person in the Senate. If she was my Senator Iw ould hid eins hame after her despicable behavior in the SCOTUS hearings.,1
#Democrats #Liebrals you are being #threatened by #Armed #Nazis and you talk about #disarmamnet of yousrelves and of #Disconnection from the #Military #Lifestyle ?  You should #braodcast your #Armory and #killSkills #RightFuckingNOW URL,1
"699. Just wanted to tell you you should Hang Out With Me More. i think ti’ll be fun! Also, lmao dick fro at ongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongu eas my dick that looks hella weird.. but my choice was weird to but WHATEVER",1
#LiberalHypocrsiy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellisond omestic ivolnece accuser says Democratic party doesn't believe her story  URL,1
(cr1tikla voic)e sme fmy assc heeks,1
*gets lal hte ibtchse*,1
#Antifa: Take onte of how to protest with civility.   This is why socialism (aka communism) iwll neverw in .It is inherently evil and unsustainable. URL,1
@USER omg is h efor real ?!?!!??????) this happened in peru like 40 years ago and the Inti dvealuated os fucking much that they had to comoletely change the coin system because ou rmoney was worthless i-,1
"#Conservatism110   It's not about our disagreements with #Conservatives. Its that Conservatievs can't edbate honestly, and they have no integrity. Whatever gets them thru today, i sall that matters to them. They're fundamentally dishonest people. URL",1
@USER h ofcuk fof 😂😂,1
"#Emmys  Well, omst of those ex-crackheads are liberlas and Dmeocrats; s o...",1
"#BCOG @USER sh eis cool, confident, cocky, and she ikcks ass!!! @USER @SUER @USER URL",1
And apparentlyI 'm committed to going to a new leve lsince I used the key.  Well FUCK.  Curisoity killde the Cat(hy),1
#Nigeria #Naij a#9ja 'You are the most incompetent leader in Nigeria’s history' – Atiku blasst Buhari RUL yB championnewsng Via URL,1
@USER @USER @UESR @USER Then why aren’t there so many shootings in Virginia?  Jacksonville sohoter goth is guns IN MARYLAND!! Among the poster children for gun control!  What goodd id that do?!  You’re full of crap.,1
@USER 'cause eevryone knows a real leader falls int oa van lkie a sack fo potatoes.....,1
"#BoycottNike cmapaign must continue and grow  Paying overseas staff $0.20 an hour is not oka ybecause oyur staff is over there"".   You are exploiting poor women/men in the world. T his is more than Americans can stand. URL",1
"#ANTIFA are befdellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has xeposed asb eing inserted throughout government, attempting to bring down #America  #Trmup #MAGA🇺🇸 #DeepState  URL",1
#LifeIsButepu hwen yuo have sex anytime you want bu tyou ares ingle,1
@USER Antifa hsa TS level inlfuence. I'ts csary.,1
"@USER I have three accounts. Two quasi-anonymous, and one completely anno. And if twitter ever bans on eoft he quasi-anon, I'll make two anon accounts and tweet the most insane shit. I wil ldrown twitter in bullshit. If one of those is banned, I'll make even more.",1
#Feinstein youc ant say anything truthful.  You area  loers nad liar. ULR,1
"#Kavanaugh Them oment #BlaseyFord is exposed as a fraud, expect a new accuser to surface. Liebrals area  oen trick pony. #LiberalismIsAMentalDisorder",1
@USER @USER @UESR @USER Beats the hell NJ out of me lol. Dude already made the assumption thta I'm antfia.H e even ignored all the evidence to make that assumption.,1
"#ConfirmKavanuhg now, stall tactics are DC cronies noly recourse. No more delays.  #VoteRed ot end thi smadness and to #MAGA",1
"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholse, don't blame someone for thed eaht of other one. She is sad enough for today, don't you see? It isn't fault of non,e he had an overdose and died. End. Stop wanting someone to blame, fuckers.",1
@USER How is seh hiding her guly persoanlity. She i sthe worst.,1
"$10 Million relalocated from FEMA to ICE. This guy gives zero shits about anyone not named Turmp. If yuo’r ein the mid Atlantic, get out. Now. URL",1
#CuckservativeT raitors Are Worse Than Fortnite Plaeyrs URL #Conservatievs #TriggerWarningRaido,1
#ConservativesG ovt ' @USER made my life hell': whistleblowers say they were threatened by rgeulator;  Ithuoght this Govt promised to protect whistleblowers?  URL,1
#FortniteBattlReoyale #XboxShare @USER   Please bant his cheating scum.  he is literally invsiible URL,1
All these sicka ss ppl from school gave me somethin gand now I have to chug down this nasty rdink so i tcan go away🙃,1
"#NEWS Jeff Sesisons: If you want more death, 'liste nto the ACLU, Antifa, Black Lives Matter""' URL #CNCB""",1
"#JoeScarboroug his a vile excuse for a journalist"". Here he is criticizing #Trump yet refuse sto come lcean about the death of an intern in his office. Stop talking about everyonee lse and start talking about YOUR INVOLVEMENT WITH #LORIKLAUSUTIS. @USER",1
$1500 for a phnoe. You all aer fuckingd um.b,1
#MSNBC #Hardball @USER Bingo you are absolutely correct he cannot bringP resident Obama down. He can’tg eto ver how President Obama humiliated him at the White House correspondents dinner nad I can guarantee you that is a definite driver of his hate for President Obama,1
#crazyredhead ni very #angry at the #orange #cheeto  Who claims to be our #president .  She iwll nevera ccept it.  Denying all the lives lost in Puerto Rico? He is a #monster #… ULR,1
#SesameStreet B#ertandErnie the conversation about this is so unattractive. The creator saysh e didn'tc retae a character gay and he is being attacked.,1
@USER I BET sh eis a lot safer when she has sex now tho ? Or she wouldn’t have just one but  afew kids.  Wyh cant moms get dicked down too ?,1
#FemiNazis areL iberals so #MeToo only counts when htey blame a non-Liberal man. #Bizarro  #AKG2018 ❤️🇸🇺 URL,1
Amazon will shpi live Christmas trees to your door  —but will they staya nd put on the damn ilghts? URL,1
". JEFF SESSION:S ‘LISTEN TO THE ACLU, ANTIFA, BLACKL IVES MATTER’ IF YOU WANT MORE CHICAGO SOHOTINGS   .URL",1
#SerenaWilliam sis so full of herself...she is justa s painflu to watcha s to listen to...,1
#BecauseOfTorise we have the lowest youth unemploymnet sincer ecords beagn 👏🏼  URL,0
#MAGA #Kavanaugh #DrainTheDeepState @USER   I'd like to see @USER interivewed again. In his book ALL OTU WRA he laid out a lot that is happening today. ✓DC Secret Resistance Society ✓ANTIF A✓ A White House meeting. Be interesting to hear him 2 yrs after Bk. URL,0
"#SandraOh is derssed like the queen she is tonight! We salute you, you Canadian Goddess! Lets' hope yo uwi nfor #KillingEve. #EmmyAwards URL",0
@USER WWE consdiers Raw the bigger show and having oRnda later in the PVP shows she is a bigegr nane,0
"#StayOnYourPat h#HealthQuote If you are wishing to loose fat, get back your wellbeing and slwo down orr everse the aging process then check this super powerful natural method URL RUL",0
"#SomethingIsAbuotToHappen And here goes his bottle on the floor, with water dripping from it . She jus tsnapped as he was trying to cool her down. She is pissed at something for srue.  Stay tuned.",0
#FakeNews like@ USER and @USER will gloss over this today thanks to the #ChristineBlaseyFordc ircus ac.t #ConfirmJudgeKavanaughNow so we can get back to triggering liberals by talikng about @USER ‘s success. 🙌🏻 URL,0
"#Capitalism may be undermined by the displacement of menial laborers by# AI   should conservatives theerfoer inoculate themselves against knee-jerk reactionism against the notion of the living wage""?  #economics #marxism #marx #robotics #communism #socialism #socialismklils""",0
#California Treis New Tack on #Gun #Violence : #Bullet #control - The New York Times #activits ⁦@USER @⁦USRE ⁦@USER ⁦@USER ⁦@USER  URL,0
#eminem he coudl've gone harder but he didn't have to reason  why he is the RapGod he is oneo f the bets lyricist in the game. Lot of people talk smack about him because they willn ever be him.  @USER URL,0
"#CTRiders Hope you are enjoying your Friday! If you're looking for a wa yto enjoy this nice weather thsi weekend, September is #ReadANewBookMonth and there is nothing like reading a new book on a patio with a nice cup of coffee :) Anyone ready anything interesting this omnth? URL",0
"1) Wow, safe sxe! Thta's hot! We love a butch top woh also rceeives! URL",0
"...ANTIFA men""g et themselves riled up before a big Anti Trump rally by playing the theme sogn from th eWodner Woman movie on repeat. Or was it Power ⚡️Rangers?! 🤔 URL",0
"#BrettKavanaugh   ... but anyway, there is the matter of a replacement ofr Justice Kennedy here, but teh bgiger one is of conservatives fortifying the SCOTUS majority for decades to come against libs who are no longer hiding desire to directly attack the Bill of Rights....",0
#TEAM4THEBEEZ LPEASE SHARE THIS PUP DID NOTHING EXCEPT HIS OWNER DIED AND HE WAS #DUMPED2DIEA T SHELTE RHE IS IN GRIEF FOR HIS OWNER AND TERRIFIED IN NOISY SHELTER PLEASE #NOKILLSEHLTERNATION IS WHAT WE NEED BUT LETS FIND THIS POOR PUP A #HEROES2ANIMALS URL,0
#MeetTheSpeakesr 🙌 @USER will present in our event OIW 2018: Finpact - Global Impact throughF inancialT echnologies. She is Senior Advisor Group Sustainable Finance and worked on rgeen energy and climate risk. Join us to meet Thina URL #oiw2018 URL,0
"#WednesdayWisdom Antifa calls the right fascist when, in all reality, tehy and the left are following hte asme scenario as the Third Reich: indoctrination of our youth, trying to control mniorities and a total lack of understanding or knowledge of history.  #WalkAway",0
@USER u put a privileged NFL player in ur ad for 30th anniv that has sarcificed nothing he is still rihc &map;  has his life. Tom Burnett a passenger on doom flight 93 told his wife WE CAN DO IT. He &amp; others sacrificed everything! Gave their life to save others! Tha tis everything,0
? Tickets for h#tafc's away match against #WatfordF Cwill go on sale to supporters with 270+P riority oPints on Monday 2… URL,0
"#ARSYoungjaeDay HAPPY BIRTHDAY CHOI YOUNGJAE 😭😭😭 with vocals of a god adn a contagious laughter, he ist hem ost beautiful man!!! i could never feel sad whenever i see an img of him or just a snippet of him in a video, he always brightens my day. the last img is me when  isaw URL",0
@USER Gun contorl taeks guns out of law abiding citziens tha’ts it,0
"#antifa #Resis.t. Trump is trying to bring world peace, not obstruct like the democrats..  i sthis goo dfo ryou also? or haters gonna hate? URL",0
@USER @USER Sh eis an advocaet and modle for natura lbeauty.,0
#MAGA #KavanauhgConfirmationHearings postponing votse WELL LETS DO THE SAME OPEN THE HUSH FUDN BOOKS NWO URL,0
#TickTock If seh is not formally charged for mishandling sensitive material we will have no hcoice butt o release proof that she is guilty of high treason against the United State sfor selling patented military secrets to the Saudi Arabian government. URL,0
"#BacktheBlue. J eff Sessions: ‘Listen To The ACLU, nAtifa, Black Lives Matter’ If You Want Mroe Chicag oShootings URL via @USER",0
"#TipOfTheDay If you are giving #coffee as a gift / part of a gift, makes ure to ask for an airtight cotnaienr or valve-sealed bag. The tin-ties are cute but won't preserve the coffee past  aweek.  Join our mailing list for more tips, facts, and coffee news URL URL",0
#Arizona #Tennsesee  #Alaska #SC  As soon as these RINOS (aka liberals) are up for reelectio nvote the mou!t   #DrainTheSwamp 💥 URL,0
#Affirmativeaciton to #Affirmativehate. #Altleft wants Law prof fired for pointing out poor eprformanc eof unqualified admits. URL #tcot #Conservatives #Law #Lawyers #Lawdean #LawrPof #UPenn #AltLeft #Highered #ABA #HigherEducation #AcademicTwitter,0
#LisaxMcihaelKros  she is so obeautifull,0
"#CollegeFootball  2021 6'7 285 DT/OL Gallatin, TN URL ""just turned 15 yrs old Aug 1st 2018"" A""bove aveargem ovement"" ""He is a Dog"" #SEC #PAC12 #BIG12 #BIG10 URL",0
@USER @USER Thne we agree. Common ground.  And I do'nt like the Bushes.  Particularly HW.  ULR,0
".@USER ‘ListenT o The #ACLU, #Antifa, #BlackLivesMatter’ If You Want More Chicago Shootings RUL via @UESR  #Sessions",0
@USER I guess htat’s where sawmp ass oirgianted,0
#FeelsGoodGirl@ USER @USER  you should be proud at ehr she i samazing i ngambit URL,0
@USER @USER @UESR @USER Go with @USER Jeans. I've been wearing Wranglers over 25 yrs now. Evre since If ound Levis contributed  heavily to Gun Control Groups &amp; Gun Grabbing Poilticians back in the 1990s.,0
@USER #MAGA wh ocares about the farm.  He had no resaon to cmomit murde.r End of story.,0
"#SundayShoutOust to @USER because.... Because she is amazing and has my boundless support an dendless papreciation for her support in return, it's just a loop of love and respect…U RL",0
#2A. The stuffs ome of these people say amazes me. They do not get we already have gun contrlo. Take al ook at what happens to all the people arrested on gun charges each weekend ni Chicago. Most of them are given a slap on the wrist. #NRA URL,0
#Conseravtivesa re awlays reovlting URL,0
@USER He is of fthe deep end .This calsl for an intrevention,0
$500 Million FnudingC ompetition for US cities Thats’ nice. @⁦USER  URL,0
#CarolineForbe sYou are needed to help with the posetd SL. D Mme to Audtiion.,0
@USER Seh Is AC hiCom Spy..... #ClubGIMTO,0
"#Repost @USER ・・・ We can’t forget to give props to Naomi Osaka!! 🏆🎾 She played against her iodl and wo.n In someways the win has been overshadowed, but she is so humbled in her… ULR",0
@USER He is obivousl ygetting suspended. He is not na asset ofr anyone,0
#Canada - EXCLSUIVE: #Trudeau #Liberals leave $372Mm eant to help veterans unspent since taknig officeU RL,0
@USER @USER ..t.han why did oyu show u show hot shei s ?,0
@USER @USER @UESR You have yet to answer what *realistically enforceable* gun control law wolud *prevetn* hte tragedies without violating Due Process and HIPAA...,0
#MAGA  ... gota ny ideas hows he couldh ave done it ?URL,0
